Остаток денежных средств и денежных эквивалентов на конец отчетного периода;4500
Поступления - всего;4110
От продажи продукции, товаров, работ и услуг;4111
Арендных платежей, лицензионных платежей, роялти, комиссионных и иных аналогичных платежей;4112
От перепродажи финансовых вложений;4113
Прочие поступления;4119
Платежи - всего;4120
Поставщикам (подрядчикам) за сырье, материалы, работы, услуги;4121
В связи с оплатой труда работников;4122
Проценты по долговым обязательствам;4123
Налога на прибыль организаций;4124
Прочие платежи;4129
Сальдо денежных потоков от текущих операций;4100
Поступления - всего;4210
От продажи внеоборотных активов (кроме финансовых вложений);4211
От продажи акций других организаций (долей участия);4212
От возврата предоставленных займов, от продажи долговых ценных бумаг (прав требования денежных средств к другим лицам);4213
Дивидендов, процентов по долговым финансовым вложениям и аналогичных поступлений от долевого участия в других организациях;4214
Прочие поступления;4219
Платежи - всего;4220
В связи с приобретением, созданием, модернизацией, реконструкцией и подготовкой к использованию внеоборотных активов;4221
В связи с приобретением акций других организаций (долей участия);4222
В связи с приобретением долговых ценных бумаг (прав требования денежных средств к другим лицам), предоставление займов другим лицам;4223
Процентов по долговым обязательствам, включаемым в стоимость инвестиционного актива;4224
Прочие платежи;4229
Сальдо денежных потоков от инвестиционных операций;4200
Поступления - всего;4310
Получение кредитов и займов;4311
Денежных вкладов собственников (участников);4312
От выпуска акций, увеличения долей участия;4313
От выпуска облигаций, векселей и других долговых ценных бумаг и др.;4314
Прочие поступления;4319
Платежи - всего;4320
Собственникам (участникам) в связи с выкупом у них акций (долей участия) организации или их выходом из состава участников;4321
На уплату дивидендов и иных платежей по распределению прибыли в пользу собственников (участников);4322
В связи с погашением (выкупом) векселей и других долговых ценных бумаг, возврат кредитов и займов;4323
Прочие платежи;4329
Сальдо денежных потоков от финансовых операций;4300
